Danh mục,Thương hiệu,Tên sản phẩm,Phân loại,Giá bán,Giá cũ,Tồn kho,Link ảnh,Mô tả sản phẩm
Skincare,Nature Republic,Gel Nha Đam Aloe Vera,300ml,150.000 đ,220.000 đ,45.0,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mfkka0vwj11q9e.webp,"Gel Nha Đam Aloe Vera từ thương hiệu Nature Republic là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,Nature Republic,Kem Dưỡng Aqua Max,80ml,420.000 đ,520.000 đ,18.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHX42iS5a4P-FW61007WpDe06m8uaq3nsh5A&s,"Kem Dưỡng Aqua Max từ thương hiệu Nature Republic là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,DHC,Dầu Tẩy Trang Deep Cleansing,200ml,520.000 đ,650.000 đ,20.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRxvBMUNeleDiRFbkV4ZMd3233b3Gom41Tt6HEyWgK0eGrli3TdMyND7c62gPJ1onyqqjUeWgOSKuFfOn3P7qo9LQ1qDWDOE46OJD9r0rrIBIw_sJHTP8HQbeU_wo3rRQrQ5w&usqp=CAc,"Dầu Tẩy Trang Deep Cleansing từ thương hiệu DHC là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,Biore,Kem Chống Nắng UV Aqua Rich,50ml,220.000 đ,280.000 đ,38.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSrxrODc0UIbt5aO0C9JYdO_7Xd-4CUWdMW__4fu1j7yOTRBhnUINF2tJ5QZEnB7JT66I8Au4juF8CXXVc5JzS1xlIblplroiFDTSI1TvpzBCB-bP-QDlGRWzUVzDNKqfKi&usqp=CAc,"Kem Chống Nắng UV Aqua Rich từ thương hiệu Biore là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,Cocoon,Tẩy Da Chết Cà Phê,200ml,180.000 đ,240.000 đ,32.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT3DY8snbyb9Dc2Xf01nH1Blh8suUMw9yzYgO1B6-Mxv0SDOHCunTZbiZi3XzE1SNUkNHdV3pTJAEH0lSNudxrLBBMoi0P8MhmqTzdZ1bMM9qTWC_F6q4Ns8TB_ID6OifS1dpe14A&usqp=CAc,"Tẩy Da Chết Cà Phê từ thương hiệu Cocoon là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,Cocoon,Bí Đao Toner,140ml,220.000 đ,280.000 đ,26.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS8W8ANBwtP4zWcAs1J4AvjniiLdmggg3iOqAd-WJkPb9W-VTxCWBDzfSeGLuM0qJtXQduaM0LJBuW-ep8R1kwgF0XzxsB51EqhVPoDB9PuZahqPNirG3OJ6b_DW56g1H_renbLOPI&usqp=CAc,"Bí Đao Toner từ thương hiệu Cocoon là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,3CE,Kem Dưỡng White Milk,50ml,420.000 đ,520.000 đ,15.0,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi74kvmnn85i7e@resize_w900_nl.webp,"Kem Dưỡng White Milk từ thương hiệu 3CE là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Skincare,The Face Shop,Rice Water Bright Cleanser,150ml,180.000 đ,240.000 đ,34.0,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmttsh20j85c07@resize_w900_nl.webp,"Rice Water Bright Cleanser từ thương hiệu The Face Shop là giải pháp hoàn hảo giúp nuôi dưỡng, cấp ẩm và chăm sóc chuyên sâu cho làn da của bạn. Sản phẩm chứa các thành phần an toàn, có kết cấu dễ thẩm thấu, phù hợp sử dụng hàng ngày để duy trì một làn da khỏe mạnh, rạng rỡ và tràn đầy sức sống."
Makeup,MAC,Son MAC Matte Lipstick Ruby Woo,Đỏ Thuần,550.000 đ,650.000 đ,25.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ7CZOl9Lw8dPlfJxl9cEso6juXIZwQAQBe_zialL_R7vI2x-Ct4pXvokCnXF0UL0n6hj98I-Yw_anVMlA8q6e0-C5nMXxCaNo7zYiszkP__G19s7zTAT_epuL1KigHVfnDxIj4dRVh0ps&usqp=CAc,"Son MAC Matte Lipstick Ruby Woo chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,MAC,Son MAC Matte Lipstick Chili,Cam Đất,550.000 đ,650.000 đ,22.0,https://vilip.vn/wp-content/uploads/2021/11/swatch-son-mac-602-chili.webp?v=1637902472,"Son MAC Matte Lipstick Chili chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,MAC,Son MAC Matte Lipstick Marrakesh,Nâu Đỏ,550.000 đ,650.000 đ,18.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRz75sXVEPUxFvqjbA-oOnECKiEpcS0pcgi3vSTBPzuoODLu97g-0AytnZOljGQT0mRhVSbhsjLdKL-1KEf5E1Zi7BitZVVRYRUWbfIor7GcFn4Ix4wHyRJLLZ48Mf9BgUzAsVKBxVySQ&usqp=CAc,"Son MAC Matte Lipstick Marrakesh chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,MAC,Son MAC Powder Kiss,"Mull It Over, Devoted To Chili, Stay Curious, Sultriness, Burning Love",620.000 đ,720.000 đ,15.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRz75sXVEPUxFvqjbA-oOnECKiEpcS0pcgi3vSTBPzuoODLu97g-0AytnZOljGQT0mRhVSbhsjLdKL-1KEf5E1Zi7BitZVVRYRUWbfIor7GcFn4Ix4wHyRJLLZ48Mf9BgUzAsVKBxVySQ&usqp=CAc,"Son MAC Powder Kiss chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,3CE,Son Velvet Lip Tint,"Daffodil, Going Right, Taupe, Speak Up, New Nude, Childlike",320.000 đ,420.000 đ,30.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbggnkm3729wef.webp,"Son Velvet Lip Tint chính hãng 3CE giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,3CE,Son Blur Water Tint,"Laydown, Casual Affair, Double Wind, Pink Guava",350.000 đ,450.000 đ,24.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mcn81b6i5hss92.webp,"Son Blur Water Tint chính hãng 3CE giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Romand,Juicy Lasting Tint,"Figfig, Jujube, Almond Rose, Bare Grape, Pomelo Skin, Nucadamia",220.000 đ,280.000 đ,35.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTt1W81H2IBrf2jRg1lzviEDbIwNtaNEk6U3g6MEaEPt8Bs5mwELSWaOjq1SCzcKGYkD9QCaQJm7VZHkx1PtBfIl9BGiWZF4Ty8zSEDRRw_2baMMQucB1b0ezBjoSY_JTackEgaOR0&usqp=CAc,"Juicy Lasting Tint chính hãng Romand giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Romand,Zero Velvet Tint,"Burny Nude, Deep Soul, Villain Vest, Witty",240.000 đ,300.000 đ,26.0,https://down-vn.img.susercontent.com/file/sg-11134201-822xu-mocu7hu938qxfe.webp,"Zero Velvet Tint chính hãng Romand giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Merzy,The First Velvet Tint,V6 Firenze,180.000 đ,240.000 đ,40.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8e7gszx75afb8.webp,"The First Velvet Tint chính hãng Merzy giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Black Rouge,Air Fit Velvet Tint,"A06, A12, A25, A49",180.000 đ,240.000 đ,36.0,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lq50ma7q9wdza7.webp,"Air Fit Velvet Tint chính hãng Black Rouge giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Dior,Rouge Dior Velvet,999,980.000 đ,1.150.000 đ,10.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ-dMdOjhMcRGiTSQ69TJ8ft5OiBOlkE33pFuwbwEz7QQN0u9tKsljjsOHNtqVpRPN7UfnM5SJjAEYM8YMFQipfGrfvnzvhh5fbxwMDdu3dry71qHUmcp-zBgtNMCA9Peox4NUE2kw&usqp=CAc,"Rouge Dior Velvet chính hãng Dior giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,YSL,Rouge Pur Couture,1966,1.050.000 đ,1.200.000 đ,8.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTt1W81H2IBrf2jRg1lzviEDbIwNtaNEk6U3g6MEaEPt8Bs5mwELSWaOjq1SCzcKGYkD9QCaQJm7VZHkx1PtBfIl9BGiWZF4Ty8zSEDRRw_2baMMQucB1b0ezBjoSY_JTackEgaOR0&usqp=CAc,"Rouge Pur Couture chính hãng YSL giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Chanel,Rouge Allure Velvet,58 Rouge Vie,1.100.000 đ,1.300.000 đ,6.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS638FjANkRhMZfzAnRqlGBwzDkHOcOEo2qrw&s,"Rouge Allure Velvet chính hãng Chanel giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Maybelline,Super Stay Matte Ink,"370,375,380",220.000 đ,280.000 đ,35.0,https://down-vn.img.susercontent.com/file/sg-11134201-81zvi-midie99w9xxd0a@resize_w900_nl.webp,"Super Stay Matte Ink chính hãng Maybelline giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,L'Oreal,Rouge Signature,"410, 412, 414, 416, 418, 420, 422, 424, 426, 428, 430, 432",240.000 đ,320.000 đ,28.0,https://lipstick.vn/wp-content/uploads/2019/09/bang-mau-son-kem-li-Loreal-Rouge-Signature-Lasting-Matte-Liquid-Lipstick-15.webp,"Rouge Signature chính hãng L'Oreal giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Bbia,Last Velvet Lip Tint,"25 Final Note, 12 Sweet Boss, 13 Serious Boss",180.000 đ,240.000 đ,32.0,https://down-vn.img.susercontent.com/file/vn-11134201-7ra0g-m8tu2w5qmgck18.webp,"Last Velvet Lip Tint chính hãng Bbia giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Peripera,Ink Velvet,"17 Rosy Nude, 23 Nutty Nude, 31 Wine Nude",180.000 đ,240.000 đ,26.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRz75sXVEPUxFvqjbA-oOnECKiEpcS0pcgi3vSTBPzuoODLu97g-0AytnZOljGQT0mRhVSbhsjLdKL-1KEf5E1Zi7BitZVVRYRUWbfIor7GcFn4Ix4wHyRJLLZ48Mf9BgUzAsVKBxVySQ&usqp=CAc,"Ink Velvet chính hãng Peripera giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Clio,Kill Cover Cushion,03 Linen,520.000 đ,620.000 đ,15.0,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mn192tl153wg90.webp,"Kill Cover Cushion chính hãng Clio giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Clio,Kill Cover Cushion,04 Ginger,520.000 đ,620.000 đ,14.0,https://down-vn.img.susercontent.com/file/sg-11134207-81zu4-mitpwlhpl7uoe5.webp,"Kill Cover Cushion chính hãng Clio giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Laneige,Neo Cushion Glow,21N Beige,850.000 đ,980.000 đ,12.0,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo55dxzykwlcd8.webp,"Neo Cushion Glow chính hãng Laneige giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Laneige,Neo Cushion Matte,23N Sand,850.000 đ,980.000 đ,10.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m1pgzzh0wjtf3a.webp,"Neo Cushion Matte chính hãng Laneige giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Hera,Black Cushion,21N1,1.100.000 đ,1.300.000 đ,8.0,https://down-vn.img.susercontent.com/file/sg-11134207-820my-mnmn1v7y1ddwbf.webp,"Black Cushion chính hãng Hera giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Missha,Magic Cushion,21 Light Beige,320.000 đ,420.000 đ,20.0,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mnus33qbiy2obd.webp,"Magic Cushion chính hãng Missha giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Innisfree,No Sebum Cushion,21C,380.000 đ,480.000 đ,18.0,https://down-vn.img.susercontent.com/file/vn-11134201-7ra0g-m8tu01zo4tqf4f.webp,"No Sebum Cushion chính hãng Innisfree giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Maybelline,Fit Me Foundation,120 Classic Ivory,280.000 đ,350.000 đ,30.0,https://down-vn.img.susercontent.com/file/sg-11134201-822yw-mo9znj6ifcpa9f.webp,"Fit Me Foundation chính hãng Maybelline giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Maybelline,Fit Me Foundation,128 Warm Nude,280.000 đ,350.000 đ,28.0,https://down-vn.img.susercontent.com/file/vn-11134201-7ra0g-m8wwv2yoa7ambf@resize_w900_nl.webp,"Fit Me Foundation chính hãng Maybelline giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,L'Oreal,Infallible Foundation,120 Vanilla,420.000 đ,520.000 đ,20.0,https://down-vn.img.susercontent.com/file/vn-11134201-7ras8-maupo5tc985o66@resize_w900_nl.webp,"Infallible Foundation chính hãng L'Oreal giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Estee Lauder,Double Wear Foundation,2N1 Desert Beige,1.200.000 đ,1.400.000 đ,8.0,https://down-vn.img.susercontent.com/file/sg-11134201-81zwg-mivgyspc5vr522.webp,"Double Wear Foundation chính hãng Estee Lauder giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,NARS,Light Reflecting Foundation,Deauville,1.350.000 đ,1.550.000 đ,6.0,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-moduv31w0gldbb.webp,"Light Reflecting Foundation chính hãng NARS giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Dior,Forever Skin Glow,2N,1.450.000 đ,1.650.000 đ,5.0,https://cdn.hstatic.net/products/1000025647/kem-nen-dior-forever-skin-glow_def260d759c147cfab74a3e6dbb7ee5c_1024x1024.webp,"Forever Skin Glow chính hãng Dior giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,MAC,Studio Fix Fluid,NC20,980.000 đ,1.150.000 đ,10.0,https://product.hstatic.net/1000025647/product/kem-nen-mac_b733d8539201422abe42b7ff19942059_1024x1024.webp,"Studio Fix Fluid chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,The Saem,Cover Perfection Tip Concealer,1.5 Natural,120.000 đ,180.000 đ,40.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ2DT8c5EJLCMk5mYQ0tB8tmiVXOzM4EE5jKs4_xLUndg-mw7zm1NRMfaJVnk-Llrnx_NES_QzTfxcXAT6KHEN71PuhFxTK43EHmTwd0DnlensftL6Jm30FMA&usqp=CAc,"Cover Perfection Tip Concealer chính hãng The Saem giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Maybelline,Instant Age Rewind,Light,220.000 đ,280.000 đ,26.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTW0N-yXKNJel2xFFSWDu88UhC9dM7dYWssR-QxJtWm3pd1a8JlOO5xhLvyIsDBLpBGQK8VHFnFzZcT52ZO1Z3s8oqIwZRE_8kpYWoENaaeszrQW1CWvz0ipyUccM6Hiw&usqp=CAc,"Instant Age Rewind chính hãng Maybelline giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,NARS,Radiant Creamy Concealer,Vanilla,850.000 đ,980.000 đ,10.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTuwtn2oA2CAuq4Q7mr9eesx_Mz9jfHzXbvOxH-d6nWUDBoS0a5SmnBo0QTIJdGZ6kcX6YiVZ7cgbQ5tcOCU8B8lGDNIGzDtSP8TK3oKTugNmi7iqnoOfhJSSUjOfB9dw7_2URZqI2w&usqp=CAc,"Radiant Creamy Concealer chính hãng NARS giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Hourglass,Vanish Concealer,Cotton,980.000 đ,1.150.000 đ,8.0,https://cdn.vuahanghieu.com/unsafe/0x900/left/top/smart/filters:quality(90)/https://admin.vuahanghieu.com/upload/product/2025/12/kem-che-khuyet-diem-vanish-airbrush-concealer-tone-cotton-694520a11434b-19122025165337.webp,"Vanish Concealer chính hãng Hourglass giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Innisfree,No Sebum Mineral Powder,5g,150.000 đ,220.000 đ,45.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQaEN8Mm6Ysq3035wPjIalsPtn7imbO9Rodped8eR48R07xRus8y0m7osiKpLMAagTjS8Il6dyEGOruNjQeWuobyKRiOMx5qdRNBrNWbk8Xu76GiX3ZsY9Wix1-KF7E40QE0cRmXjL5DHc&usqp=CAc,"No Sebum Mineral Powder chính hãng Innisfree giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Canmake,Marshmallow Finish Powder,MO,320.000 đ,420.000 đ,24.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRpR0B7T5SD5mwl0sRdipuCXjp_JCykkdytM2RiBVeixDdEsWPRR9taccVPC18JpKnl9D2UV7zzyKmSfDfP2l-d4SkBxB526KIQS73eyxDoTv0BFppMqttCGH_jjmtj_v8nXtzN0lKt-dE&usqp=CAc,"Marshmallow Finish Powder chính hãng Canmake giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,MAC,Studio Fix Powder Plus,NC25,850.000 đ,980.000 đ,12.0,https://mint07.com/wp-content/uploads/2019/04/phan-phu-mac-studio-fix-powder-plus-foundation.webp,"Studio Fix Powder Plus chính hãng MAC giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
Makeup,Charlotte Tilbury,Airbrush Flawless Finish,02 Medium,1.250.000 đ,1.450.000 đ,6.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTHFEAiOaDwGDsXqua1ZBTAxtIX93SF_OKhijVcYiLqHkE-ovcFIq2F2LNu5wVs_AEHtsIfaT-crn1OebY4NhPcN7PRBoj8w_5Z_79mkAPeJXIGEmmnqN5pFQfi-AqSjg&usqp=CAc,"Airbrush Flawless Finish chính hãng Charlotte Tilbury giúp tôn lên những đường nét thanh tú và vẻ đẹp tự nhiên của bạn. Với chất lượng vượt trội, kết cấu mỏng mịn và độ bám tốt, đây là món đồ không thể thiếu trong bộ sưu tập trang điểm của các tín đồ làm đẹp."
